id,created_at,favorite_count,retweet_count
824325613288833024,Wed Jan 25 18:38:36 +0000 2017,12241,10925
824297048279236611,Wed Jan 25 16:45:05 +0000 2017,15614,4031
824025158776213504,Tue Jan 24 22:44:42 +0000 2017,4969,617
823939628516474880,Tue Jan 24 17:04:50 +0000 2017,11015,2827
823719002937630720,Tue Jan 24 02:28:08 +0000 2017,0,11699
823699002998870016,Tue Jan 24 01:08:40 +0000 2017,14441,2627
823581115634085888,Mon Jan 23 17:20:14 +0000 2017,13507,2748
823333489516937216,Mon Jan 23 00:56:15 +0000 2017,725,26
823322678127919110,Mon Jan 23 00:13:17 +0000 2017,16310,4201
823269594223824897,Sun Jan 22 20:42:21 +0000 2017,0,10327
822975315408461824,Sun Jan 22 01:12:59 +0000 2017,17930,3596
822872901745569793,Sat Jan 21 18:26:02 +0000 2017,136891,45330
822859134160621569,Sat Jan 21 17:31:20 +0000 2017,13748,2394
822647212903690241,Sat Jan 21 03:29:14 +0000 2017,0,6691
822610361945911296,Sat Jan 21 01:02:48 +0000 2017,15346,3083
822489057087389700,Fri Jan 20 17:00:46 +0000 2017,18838,6691
